Instancia,Clientes,Modo,Semilla,Iteraciones,TabuTenure,Swap,Relocate,FitnessGreedy,FitnessTabu,Mejora,PenalizacionGreedy,PenalizacionTabu,VehiculosGreedy,VehiculosTabu,TiempoTabuMs
C101,100,T,1782093686,10000,10,1,1,469110,64319,404791,46587.7,6147.05,10,10,1199.46
C102,100,T,1782093686,10000,10,1,1,449113,33631.5,415482,44584.3,3064.26,10,10,1073.62
C103,100,T,1782093686,10000,10,1,1,293863,5380.83,288482,29130.9,226.512,10,10,1006.23
C104,100,T,1782093686,10000,10,1,1,190654,2457.41,188196,18848,0,10,10,1105.42
C105,100,T,1782093686,10000,10,1,1,446590,54696.8,391893,44341.4,5176.31,10,10,1153.87
C106,100,T,1782093686,10000,10,1,1,409056,46202.7,362853,40581.7,4319.42,10,10,1117.89
C107,100,T,1782093686,10000,10,1,1,350959,28200.8,322758,34789.1,2531.94,10,10,1115.39
C108,100,T,1782093686,10000,10,1,1,239438,14639.1,224799,23670.4,1187.48,10,10,1173.84
C109,100,T,1782093686,10000,10,1,1,204178,3546.32,200632,20162.2,104.612,10,10,1022.27
C1_4_1,400,T,1782093686,10000,10,1,1,1.63262e+06,1.62854e+06,4085.06,161342,160898,36,36,256.163
C1_4_2,400,T,1782093686,10000,10,1,1,1.19743e+06,1.19417e+06,3263.29,117987,117546,36,36,260.507
C1_4_3,400,T,1782093686,10000,10,1,1,832226,808430,23796.2,81820.3,79286.3,36,36,321.513
C1_4_4,400,T,1782093686,10000,10,1,1,460175,432473,27702.5,44911.8,41781,36,36,256.829
C1_4_5,400,T,1782093686,10000,10,1,1,1.49608e+06,1.48638e+06,9693.81,147717,146713,36,36,295.155
R1_6_1,600,T,1782093686,10000,10,1,1,1.19177e+06,1.19177e+06,0,115329,115329,54,54,170.421
R1_6_2,600,T,1782093686,10000,10,1,1,966945,966945,0,92978.5,92978.5,54,54,53.4629
R1_6_3,600,T,1782093686,10000,10,1,1,516682,516682,0,48617.5,48617.5,54,54,165.14
R1_6_4,600,T,1782093686,10000,10,1,1,301873,301873,0,27619.5,27619.5,54,54,93.7759
R1_6_5,600,T,1782093686,10000,10,1,1,959892,959892,0,92293.6,92293.6,54,54,22.9959
R2_8_1,800,T,1782093686,10000,10,1,1,1.69008e+07,1.69008e+07,0,1.68419e+06,1.68419e+06,15,15,42.2866
R2_8_2,800,T,1782093686,10000,10,1,1,1.29695e+07,1.29263e+07,43152.8,1.29146e+06,1.28712e+06,15,15,122.47
R2_8_3,800,T,1782093686,10000,10,1,1,9.80484e+06,9.8001e+06,4732.41,976006,975536,15,15,123.002
R2_8_4,800,T,1782093686,10000,10,1,1,5.59831e+06,5.59831e+06,0,556638,556638,15,15,115.244
R2_8_5,800,T,1782093686,10000,10,1,1,1.51402e+07,1.51097e+07,30469.6,1.50816e+06,1.50506e+06,15,15,116.216
RC210_1,1000,T,1782093686,10000,10,1,1,1.87076e+07,1.87076e+07,0,1.86398e+06,1.86398e+06,18,18,98.5592
