Instancia,Clientes,Modo,Iteraciones,TabuTenure,Swap,Relocate,FitnessGreedy,FitnessTabu,Mejora,PenalizacionGreedy,PenalizacionTabu,VehiculosGreedy,VehiculosTabu,TiempoTabuMs
C101,100,T,50000,15,1,1,469110,14309.1,454801,46587.7,1237.47,10,10,168446
C102,100,T,50000,15,1,1,449113,3075.4,446038,44584.3,73.4707,10,10,168506
C103,100,T,50000,15,1,1,293863,1815.05,292048,29130.9,0,10,10,200901
C104,100,T,50000,15,1,1,190654,1842.93,188811,18848,0,10,10,169869
C105,100,T,50000,15,1,1,446590,13464.5,433126,44341.4,1127.27,10,10,182304
C106,100,T,50000,15,1,1,409056,6690.94,402365,40581.7,458.918,10,10,165891
C107,100,T,50000,15,1,1,350959,4627.69,346331,34789.1,265.269,10,10,133177
C108,100,T,50000,15,1,1,239438,3956.49,235481,23670.4,173.374,10,10,129102
C109,100,T,50000,15,1,1,204178,1999.35,202179,20162.2,0,10,10,134378
C1_4_1,400,T,50000,15,1,1,1.63262e+06,1.18783e+06,444793,161342,116644,36,36,48790.4
C1_4_2,400,T,50000,15,1,1,1.19743e+06,655880,541553,117987,63536.7,36,36,51081.1
C1_4_3,400,T,50000,15,1,1,832226,243832,588395,81820.3,22548.3,36,36,60174.1
C1_4_4,400,T,50000,15,1,1,460175,66434.1,393741,44911.8,5053.86,36,36,58221
C1_4_5,400,T,50000,15,1,1,1.49608e+06,978630,517446,147717,95823.5,36,36,58134.4
R1_6_1,600,T,50000,15,1,1,1.19177e+06,988678,203092,115329,94771.8,54,54,43506
R1_6_2,600,T,50000,15,1,1,966945,712604,254341,92978.5,67191.2,54,54,42662.7
R1_6_3,600,T,50000,15,1,1,516682,347164,169517,48617.5,31454.6,54,54,42499.4
R1_6_4,600,T,50000,15,1,1,301873,116207,185666,27619.5,8589.44,54,54,43735.5
R1_6_5,600,T,50000,15,1,1,959892,802867,157025,92293.6,76392.6,54,54,44019.7
R2_8_1,800,T,50000,15,1,1,1.69008e+07,1.43329e+07,2.56783e+06,1.68419e+06,1.42655e+06,15,15,34752.4
R2_8_2,800,T,50000,15,1,1,1.29695e+07,1.05927e+07,2.37678e+06,1.29146e+06,1.05284e+06,15,15,31499.8
R2_8_3,800,T,50000,15,1,1,9.80484e+06,6.75291e+06,3.05193e+06,976006,669878,15,15,30890.1
R2_8_4,800,T,50000,15,1,1,5.59831e+06,2.8967e+06,2.70161e+06,556638,285532,15,15,31919.5
R2_8_5,800,T,50000,15,1,1,1.51402e+07,1.2385e+07,2.75518e+06,1.50816e+06,1.23179e+06,15,15,31695.1
RC210_1,1000,T,50000,15,1,1,1.87076e+07,1.7125e+07,1.58259e+06,1.86398e+06,1.70497e+06,18,18,25129.7
