Instancia,Clientes,Modo,Semilla,Iteraciones,TabuTenure,Swap,Relocate,FitnessGreedy,FitnessTabu,Mejora,PenalizacionGreedy,PenalizacionTabu,VehiculosGreedy,VehiculosTabu,TiempoTabuMs
C101,100,T,1782448925,20000,15,1,1,469110,64002.6,405108,46587.7,6190.19,10,10,6642.23
C102,100,T,1782448925,20000,15,1,1,449113,15142.5,433971,44584.3,1273.4,10,10,7903.22
C103,100,T,1782448925,20000,15,1,1,293863,8378.82,285484,29130.9,606.55,10,10,7573.45
C107,50,T,1782448925,20000,15,1,1,93920,910.614,93009.4,9272.94,21.1249,5,5,3278.32
C1_2_5,200,T,1782448925,20000,15,1,1,680575,235685,444890,67288.2,22886.5,18,18,56403.3
C1_4_1,400,T,1782448925,20000,15,1,1,1.63262e+06,1.20072e+06,431906,161342,118111,36,36,161948
C205,25,T,1782448925,20000,15,1,1,459664,1137.84,458526,45928.6,76.1816,1,1,589.901
R1_6_1,600,T,1782448925,20000,15,1,1,1.19177e+06,935950,255820,115329,89763.6,54,54,391972
R2_8_1,800,T,1782448925,20000,15,1,1,1.69008e+07,1.49723e+07,1.92842e+06,1.68419e+06,1.49141e+06,15,15,470596
RC210_1,1000,T,1782448925,20000,15,1,1,1.87076e+07,1.70883e+07,1.61926e+06,1.86398e+06,1.70199e+06,18,18,752655
