Instancia,FitnessGreedy,FitnessTabu,Mejora,PenalizacionGreedy,PenalizacionTabu,VehiculosGreedy,VehiculosTabu
C101,469110,346128,122982,46587.7,34295.5,10,10
C102,449113,360148,88965,44584.3,35704.7,10,10
C103,293863,198185,95678,29130.9,19545.7,10,10
C104,190654,79098.5,111556,18848,7661.11,10,10
C105,446590,325001,121589,44341.4,32169.3,10,10
C106,409056,302641,106415,40581.7,29923.9,10,10
C107,350959,273029,77930,34789.1,26994.7,10,10
C108,239438,178284,61154,23670.4,17544.1,10,10
C109,204178,138225,65953,20162.2,13546.9,10,10
C1_4_1,1.63262e+06,1.6181e+06,14520,161342,159891,36,36
C1_4_2,1.19743e+06,1.18237e+06,15060,117987,116481,36,36
C1_4_3,832226,794866,37360,81820.3,78082,36,36
C1_4_4,460175,432981,27194,44911.8,42177.1,36,36
C1_4_5,1.49608e+06,1.47549e+06,20590,147717,145660,36,36
R1_6_1,1.19177e+06,1.17649e+06,15280,115329,113829,54,54
R1_6_2,966945,935504,31441,92978.5,89831.4,54,54
R1_6_3,516682,500271,16411,48617.5,46977.6,54,54
R1_6_4,301873,273512,28361,27619.5,24776.9,54,54
R1_6_5,959892,942094,17798,92293.6,90525.3,54,54
R2_8_1,1.69008e+07,1.67444e+07,156400,1.68419e+06,1.66856e+06,15,15
R2_8_2,1.29695e+07,1.28158e+07,153700,1.29146e+06,1.2761e+06,15,15
R2_8_3,9.80484e+06,9.52051e+06,284330,976006,947565,15,15
R2_8_4,5.59831e+06,5.36938e+06,228930,556638,533714,15,15
R2_8_5,1.51402e+07,1.49809e+07,159300,1.50816e+06,1.49222e+06,15,15
RC210_1,1.87076e+07,1.85693e+07,138300,1.86398e+06,1.85013e+06,18,18
